iter,is_last,ub_relx,lb_relx,b_lower,n_states
0,false,0.9897795984314163,-Inf,-Inf,513
1,false,0.9879622736844718,-Inf,-Inf,514
2,false,0.9818554483168803,-Inf,-Inf,515
3,false,0.9798078031706772,-Inf,-Inf,516
4,false,0.9761060118366829,-Inf,-Inf,517
5,false,0.9739942527087998,-Inf,-Inf,518
6,false,0.9720893378998013,-Inf,-Inf,519
7,false,0.9705627055862082,-Inf,-Inf,520
8,false,0.9701230522382125,-Inf,-Inf,521
9,false,0.9687572247390372,-Inf,-Inf,522
10,false,0.9680716375550182,-Inf,-Inf,523
11,false,0.9674460851789299,-Inf,-Inf,524
12,false,0.9668642278608294,-Inf,-Inf,525
13,false,0.9661706290376124,-Inf,-Inf,526
14,false,0.9658245869797939,-Inf,-Inf,527
15,false,0.9656108667315635,-Inf,-Inf,528
16,false,0.965570430140912,-Inf,-Inf,529
17,false,0.9645487741346508,-Inf,-Inf,530
18,false,0.9629648858591824,-Inf,-Inf,531
19,false,0.962826078809574,-Inf,-Inf,532
20,false,0.9617395318983869,-Inf,-Inf,533
21,false,0.9614519451265431,-Inf,-Inf,534
22,false,0.9607817462830834,-Inf,-Inf,535
23,false,0.9593154137693507,-Inf,-Inf,536
24,false,0.9584288040864342,-Inf,-Inf,537
25,false,0.9574625003293119,-Inf,-Inf,538
26,false,0.9570744893079965,-Inf,-Inf,539
27,false,0.9566111805318985,-Inf,-Inf,540
28,false,0.9558143139749649,-Inf,-Inf,541
29,false,0.955003371952202,-Inf,-Inf,542
30,false,0.9545778679759429,-Inf,-Inf,543
31,false,0.9539364801743694,-Inf,-Inf,544
32,false,0.9537168051250567,-Inf,-Inf,545
33,false,0.9529276602992034,-Inf,-Inf,546
34,false,0.9518488425591978,-Inf,-Inf,547
35,false,0.9509203684021428,-Inf,-Inf,548
36,false,0.9506848428715485,-Inf,-Inf,549
37,false,0.950015667997882,-Inf,-Inf,550
38,false,0.9497131531931142,-Inf,-Inf,551
39,false,0.9494770393986639,-Inf,-Inf,552
40,false,0.9486529881471364,-Inf,-Inf,553
41,false,0.9480742385864578,-Inf,-Inf,554
42,false,0.947544506392312,-Inf,-Inf,555
43,false,0.9473382028709506,-Inf,-Inf,556
44,false,0.94673043429678,-Inf,-Inf,557
45,false,0.9465385713732783,-Inf,-Inf,558
46,false,0.9463052948410751,-Inf,-Inf,559
47,false,0.9459462159694451,-Inf,-Inf,560
48,false,0.9456107691390438,-Inf,-Inf,561
49,false,0.9454201669495278,-Inf,-Inf,562
50,false,0.9452328864558004,-Inf,-Inf,563
51,false,0.9449383591212094,-Inf,-Inf,564
52,false,0.9446909499595683,-Inf,-Inf,565
53,false,0.944325571531791,-Inf,-Inf,566
54,false,0.9441957642254913,-Inf,-Inf,567
55,false,0.9439366341275441,-Inf,-Inf,568
