iter,is_last,ub_relx,lb_relx,b_lower,n_states
0,false,0.9922190508817202,-Inf,-Inf,513
1,false,0.9882541939554285,-Inf,-Inf,514
2,false,0.9864113199053925,-Inf,-Inf,515
3,false,0.985560623128515,-Inf,-Inf,516
4,false,0.984060791869543,-Inf,-Inf,517
5,false,0.9831560776932268,-Inf,-Inf,518
6,false,0.9812448864173183,-Inf,-Inf,519
7,false,0.9802769839563099,-Inf,-Inf,520
8,false,0.9793438745510469,-Inf,-Inf,521
9,false,0.9787034368105291,-Inf,-Inf,522
10,false,0.97535230251659,-Inf,-Inf,523
11,false,0.974186164112461,-Inf,-Inf,524
12,false,0.9721727462704834,-Inf,-Inf,525
13,false,0.9707044166498571,-Inf,-Inf,526
14,false,0.969050459280754,-Inf,-Inf,527
15,false,0.9674380005424753,-Inf,-Inf,528
16,false,0.9668417843229546,-Inf,-Inf,529
17,false,0.966010826738722,-Inf,-Inf,530
18,false,0.9654700747600125,-Inf,-Inf,531
19,false,0.9651225747500658,-Inf,-Inf,532
20,false,0.964712662604487,-Inf,-Inf,533
21,false,0.964198936228421,-Inf,-Inf,534
22,false,0.9635341813366128,-Inf,-Inf,535
23,false,0.9631647975611928,-Inf,-Inf,536
24,false,0.9619513580138254,-Inf,-Inf,537
25,false,0.961094253854581,-Inf,-Inf,538
26,false,0.9604022889993702,-Inf,-Inf,539
27,false,0.9597455847123806,-Inf,-Inf,540
28,false,0.9594731508018297,-Inf,-Inf,541
29,false,0.9592542562818979,-Inf,-Inf,542
30,false,0.9589324708113904,-Inf,-Inf,543
31,false,0.9584488172365978,-Inf,-Inf,544
32,false,0.9580660863549937,-Inf,-Inf,545
33,false,0.9577944812447635,-Inf,-Inf,546
34,false,0.9573473685477235,-Inf,-Inf,547
35,false,0.9567041993915848,-Inf,-Inf,548
36,false,0.9553867429405924,-Inf,-Inf,549
37,false,0.954776847479526,-Inf,-Inf,550
38,false,0.9543857322250682,-Inf,-Inf,551
39,false,0.954042176249912,-Inf,-Inf,552
40,false,0.9536357593888645,-Inf,-Inf,553
41,false,0.9534892213545909,-Inf,-Inf,554
42,false,0.9533154920242868,-Inf,-Inf,555
43,false,0.9526393443530533,-Inf,-Inf,556
44,false,0.9523697087810953,-Inf,-Inf,557
45,false,0.952130776123062,-Inf,-Inf,558
46,false,0.9513970177245326,-Inf,-Inf,559
47,false,0.951205892085005,-Inf,-Inf,560
48,false,0.9506798273673226,-Inf,-Inf,561
49,false,0.9502095941021302,-Inf,-Inf,562
50,false,0.9499564422282796,-Inf,-Inf,563
51,false,0.9495943135215947,-Inf,-Inf,564
52,false,0.9493019655909769,-Inf,-Inf,565
53,false,0.9491961102051245,-Inf,-Inf,566
54,false,0.949078970906255,-Inf,-Inf,567
55,false,0.9489812154052228,-Inf,-Inf,568
56,false,0.9489018991193885,-Inf,-Inf,569
57,false,0.948812222266733,-Inf,-Inf,570
58,false,0.9487565407713863,-Inf,-Inf,571
59,false,0.9486798293399876,-Inf,-Inf,572
60,false,0.9482846681722968,-Inf,-Inf,573
61,false,0.947978374067006,-Inf,-Inf,574
62,false,0.9478761210104654,-Inf,-Inf,575
63,false,0.9478028735242298,-Inf,-Inf,576
64,false,0.9475590720675804,-Inf,-Inf,577
65,false,0.9474708011998247,-Inf,-Inf,578
66,false,0.9473250672880067,-Inf,-Inf,579
