iter,is_last,ub_relx,lb_relx,b_lower,n_states
0,false,0.9964894089426225,-Inf,-Inf,129
1,false,0.9782403087318812,-Inf,-Inf,130
2,false,0.9658959644411252,-Inf,-Inf,131
3,false,0.9241887581799367,-Inf,-Inf,132
4,false,0.9177825718505281,-Inf,-Inf,133
5,false,0.9094574082695402,-Inf,-Inf,134
6,false,0.901034729128759,-Inf,-Inf,135
7,false,0.8997611876307388,-Inf,-Inf,136
8,false,0.8956651033657579,-Inf,-Inf,137
9,false,0.8921973569436354,-Inf,-Inf,138
10,false,0.889985772886351,-Inf,-Inf,139
11,false,0.8826015064444483,-Inf,-Inf,140
12,false,0.8814970641227782,-Inf,-Inf,141
13,false,0.8781505889653407,-Inf,-Inf,142
14,false,0.875764834881311,-Inf,-Inf,143
15,false,0.8730628642534337,-Inf,-Inf,144
16,false,0.8702353606825175,-Inf,-Inf,145
17,false,0.8692628060402755,-Inf,-Inf,146
18,false,0.8675851540729116,-Inf,-Inf,147
19,false,0.8666642019931035,-Inf,-Inf,148
20,false,0.8661599379351833,-Inf,-Inf,149
21,false,0.865516868741104,-Inf,-Inf,150
22,false,0.864427069650499,-Inf,-Inf,151
23,false,0.8639190180627421,-Inf,-Inf,152
24,false,0.860996549734205,-Inf,-Inf,153
25,false,0.8580986657596481,-Inf,-Inf,154
26,false,0.8562123960592877,-Inf,-Inf,155
27,false,0.8545163496013591,-Inf,-Inf,156
28,false,0.8541812017489869,-Inf,-Inf,157
29,false,0.8535564911992979,-Inf,-Inf,158
30,false,0.8528171459189622,-Inf,-Inf,159
31,false,0.851984154489401,-Inf,-Inf,160
32,false,0.851038823494449,-Inf,-Inf,161
33,false,0.8505219924854056,-Inf,-Inf,162
34,false,0.8485100421745327,-Inf,-Inf,163
35,false,0.8471282561506174,-Inf,-Inf,164
36,false,0.8465701771468723,-Inf,-Inf,165
37,false,0.8463214769737607,-Inf,-Inf,166
38,false,0.8457594155141939,-Inf,-Inf,167
39,false,0.8450157219707906,-Inf,-Inf,168
40,false,0.8427064848259825,-Inf,-Inf,169
41,false,0.8420013361923478,-Inf,-Inf,170
42,false,0.8414347233751613,-Inf,-Inf,171
43,false,0.8410573316581116,-Inf,-Inf,172
44,false,0.8408233719526289,-Inf,-Inf,173
45,false,0.840771030084571,-Inf,-Inf,174
46,false,0.840175896621318,-Inf,-Inf,175
47,false,0.8399227184247087,-Inf,-Inf,176
48,false,0.8394895043342895,-Inf,-Inf,177
49,false,0.8389492442582511,-Inf,-Inf,178
50,false,0.8387340254744435,-Inf,-Inf,179
51,false,0.8381296315104012,-Inf,-Inf,180
52,false,0.8376521543997303,-Inf,-Inf,181
