iter,zeta,f,pen,residual,grad_norm,z,alm
1,10.0,-0.29721114707325863,0.049747276731308354,0.22304097545363352,0.0,0.29721114707325863,0.2002616202398249
2,25.0,-0.1529752099907815,0.00962460437208579,0.09810506802446951,0.458183765117331,0.1529752099907815,0.3034684012647846
3,10.0,-0.04514094103516117,0.0011819560079181436,0.03437958708184471,0.007464663249586066,0.04514094103516117,-0.1665470212200335
4,25.0,-0.034817543656179804,0.0009564854393851558,0.0309270987870695,0.0038110828471396674,0.034817543656179804,-0.1407809829780949
1,10.0,-0.03667326388860786,0.006058944831058869,0.07783922424497093,0.059664264339826086,0.03667326388860786,-0.19693557586998295
2,25.0,-0.03643878033252197,0.0016128872138765561,0.040160767097710624,0.0479170786080007,0.03643878033252197,-0.11064612469044968
3,62.5,-0.04278800332122536,0.00026125315434327663,0.0161633274527022,0.035014288323316066,0.04278800332122536,-0.062421790046167366
4,25.0,-0.05079540582053893,0.00022523270863426288,0.015007754949833866,0.0339710453386745,0.05079540582053893,-0.06227543664598457
5,10.0,-0.05838572221435331,0.0004918231484050643,0.022177086111684383,0.03582988227466787,0.05838572221435331,-0.06520042478523892
6,4.0,-0.06788257587794284,0.0008448409983705678,0.02906614866766094,0.03014000053215598,0.06788257587794284,-0.06442116905055074
7,10.0,-0.06505477580221113,0.00014557094409517948,0.012065278450793396,0.01904172095392546,0.06505477580221113,-0.06031113994710043
8,4.0,-0.06311913032370156,0.0001114178371054091,0.010555464798170145,0.0063465425793438925,0.06311913032370156,-0.05978258802246683
1,10.0,-0.04745502196271391,0.002591788701815107,0.050909613058980396,0.033744461738301076,0.04745502196271391,-0.10300339361004696
2,25.0,-0.049367278228691226,0.0004181467855453217,0.02044863774302146,0.026464048488119372,0.049367278228691226,-0.07035600181304001
3,10.0,-0.04815294061114555,0.0006771843376015304,0.026022765756189916,0.012283551234884003,0.04815294061114555,-0.0695070216309453
4,25.0,-0.051914644156948214,0.0001202359546973797,0.010965215670354127,0.009602165085187384,0.051914644156948214,-0.06105068768029363
5,62.5,-0.05522378993855184,1.8246340418228065e-5,0.004271573529535465,0.009763640443011808,0.05522378993855184,-0.05839439578306987
6,25.0,-0.05842758454546369,1.5799426896620032e-5,0.003974849292315374,0.022632678843784667,0.05842758454546369,-0.058764174021032275
7,10.0,-0.061899961290385434,4.400257324790232e-5,0.0066334435437337014,0.020251179436639122,0.061899961290385434,-0.05900732251352297
8,4.0,-0.06615086615280119,0.00012719700534433124,0.01127816498125166,0.015428092784052489,0.06615086615280119,-0.05977214096331853
